"","X","full_name","rating","jersey","team","position","b_day","metros","kilos","salary","country","draft_year","draft_round","draft_peak","college"
"279",279,"Bruce Brown",73,6,"Detroit Pistons","G",1996-08-15,1.93,86.2,1416852,"USA",2018,2,42,"Miami (Florida)"
"280",280,"Troy Brown",73,6,"Washington Wizards","F-G",1999-07-28,1.98,97.5,3219480,"USA",2018,1,15,"Oregon"
"281",281,"Alec Burks",73,0,"Philadelphia 76ers","G",1991-07-20,1.98,88.5,2320044,"USA",2011,1,12,"Colorado"
"282",282,"Alex Caruso",73,4,"Los Angeles Lakers","G",1994-02-28,1.96,84.4,2750000,"USA",2016,3,0,"Texas A&M"
"283",283,"Tyson Chandler",73,19,"Houston Rockets","C",1982-10-02,2.13,106.6,2564753,"USA",2001,1,2,"High School"
"284",284,"Allen Crabbe",73,0,"No_Team","G-F",1992-04-09,1.96,89.4,17818456,"USA",2013,2,31,"California"
"285",285,"Matthew Dellavedova",73,18,"Cleveland Cavaliers","G",1990-09-08,1.91,86.2,9607500,"Australia",2013,3,0,"Saint Mary's"
"286",286,"James Ennis",73,0,"Orlando Magic","F",1990-07-01,1.98,91.2,1882867,"USA",2013,2,50,"Long Beach State"
"287",287,"Dorian Finney-Smith",73,10,"Dallas Mavericks","F",1993-05-04,2.01,96.6,4e+06,"USA",2016,3,0,"Florida"
"288",288,"Shaquille Harrison",73,3,"Chicago Bulls","G",1993-10-06,2.01,86.2,1620564,"USA",2016,3,0,"Tulsa"
"289",289,"Aaron Holiday",73,3,"Indiana Pacers","G",1996-09-30,1.83,83.9,2239200,"USA",2018,1,23,"UCLA"
"290",290,"Danuel House",73,4,"Houston Rockets","F",1993-06-07,1.98,99.8,3540000,"USA",2016,3,0,"Texas A&M"
"291",291,"Stanley Johnson",73,5,"Toronto Raptors","F",1996-05-29,1.98,109.8,3623000,"USA",2015,1,8,"Arizona"
"292",292,"Tyus Jones",73,21,"Memphis Grizzlies","G",1996-05-10,1.83,83.9,10116000,"USA",2015,1,24,"Duke"
"293",293,"Furkan Korkmaz",73,30,"Philadelphia 76ers","F",1997-06-27,2.01,83.9,1620564,"Turkey",2016,1,26,"Studied Abroad"
"294",294,"Ian Mahinmi",73,28,"Washington Wizards","C",1986-11-05,2.11,104.3,15450051,"France",2005,1,28,"Studied Abroad"
"295",295,"CJ Miles",73,0,"No_Team","G-F",1987-03-18,1.98,105.2,8730158,"USA",2005,2,34,"High School"
"296",296,"Mike Muscala",73,33,"Oklahoma City Thunder","F-C",1991-07-01,2.08,104.3,2028594,"USA",2013,2,44,"Bucknell"
"297",297,"Frank Ntilikina",73,11,"New York Knicks","G",1998-07-28,1.93,86.2,4855800,"France",2017,1,8,"Studied Abroad"
"298",298,"David Nwaba",73,0,"Houston Rockets","G",1993-01-14,1.96,95.3,2581965,"USA",2016,3,0,"Cal Poly"
"299",299,"Royce O'Neale",73,23,"Utah Jazz","F",1993-06-05,1.93,102.5,1618520,"USA",2015,3,0,"Baylor"
"300",300,"Semi Ojeleye",73,37,"Boston Celtics","F",1994-12-05,1.98,106.6,1618520,"USA",2017,2,37,"SMU"
"301",301,"Josh Okogie",73,20,"Minnesota Timberwolves","G",1998-09-01,1.93,96.6,2530680,"Nigeria",2018,1,20,"Georgia Tech"
"302",302,"Jonathon Simmons",73,0,"No_Team","G-F",1989-09-14,1.98,88.5,1e+06,"USA",2012,3,0,"Houston"
"303",303,"Ishmael Smith",73,14,"Washington Wizards","G",1988-07-05,1.83,79.4,6e+06,"USA",2010,3,0,"Wake Forest"
"304",304,"Tony Snell",73,17,"Detroit Pistons","F",1991-11-10,1.98,89.8,11392857,"USA",2013,1,20,"New Mexico"
"305",305,"Omari Spellman",73,0,"Minnesota Timberwolves","F",1997-07-21,2.03,111.1,1897800,"USA",2018,1,30,"Villanova"
"306",306,"Garrett Temple",73,17,"Brooklyn Nets","G-F",1986-05-08,1.96,88.5,4767000,"USA",2009,3,0,"LSU"
"307",307,"Evan Turner",73,1,"Minnesota Timberwolves","G-F",1988-10-27,1.98,93,18606556,"USA",2010,1,2,"Ohio State"
"308",308,"Lonnie Walker",73,1,"San Antonio Spurs","G",1998-12-14,1.96,92.5,2764200,"USA",2018,1,18,"Miami (Florida)"
"309",309,"Brad Wanamaker",73,9,"Boston Celtics","G",1989-07-25,1.91,95.3,1445697,"USA",2011,3,0,"Pittsburgh"
"310",310,"Ante Zizic",73,41,"Cleveland Cavaliers","C",1997-01-04,2.08,113.4,2281800,"Croatia",2016,1,23,"Studied Abroad"
"311",311,"Tyler Herro",73,14,"Miami Heat","G",2000-01-20,1.96,88.5,3640200,"USA",2019,1,13,"Kentucky"
"312",312,"Vincent Poirier",73,77,"Boston Celtics","C",1993-10-17,2.13,106.6,2505793,"France",2015,3,0,"Studied Abroad"
"313",313,"Sekou Doumbouya",73,45,"Detroit Pistons","F",2000-12-23,2.03,94.8,3285120,"France",2019,1,15,"Studied Abroad"
"314",314,"Brandon Clarke",73,15,"Memphis Grizzlies","F",1996-09-19,2.03,97.5,2478840,"Canada",2019,1,21,"Gonzaga"
"315",315,"Nicolo Melli",73,20,"New Orleans Pelicans","F",1991-01-26,2.06,107,4102564,"Italy",2013,3,0,"Studied Abroad"
