"","X","full_name","rating","jersey","team","position","b_day","metros","kilos","salary","country","draft_year","draft_round","draft_peak","college"
"1",1,"LeBron James",97,23,"Los Angeles Lakers","F",1984-12-30,2.06,113.4,37436858,"USA",2003,1,1,"High School"
"2",2,"Kawhi Leonard",97,2,"Los Angeles Clippers","F",1991-06-29,2.01,102.1,32742000,"USA",2011,1,15,"San Diego State"
"3",3,"Giannis Antetokounmpo",96,34,"Milwaukee Bucks","F-G",1994-12-06,2.11,109.8,25842697,"Greece",2013,1,15,"Studied Abroad"
"4",4,"Kevin Durant",96,7,"Brooklyn Nets","F",1988-09-29,2.08,104.3,37199000,"USA",2007,1,2,"Texas"
"5",5,"James Harden",96,13,"Houston Rockets","G",1989-08-26,1.96,99.8,38199000,"USA",2009,1,3,"Arizona State"
"6",6,"Stephen Curry",95,30,"Golden State Warriors","G",1988-03-14,1.91,83.9,40231758,"USA",2009,1,7,"Davidson"
"7",7,"Anthony Davis",94,3,"Los Angeles Lakers","F-C",1993-03-11,2.08,100.7,27093019,"USA",2012,1,1,"Kentucky"
"8",8,"Paul George",93,13,"Los Angeles Clippers","F",1990-05-02,2.03,95.3,33005556,"USA",2010,1,10,"Fresno State"
"9",9,"Damian Lillard",92,0,"Portland Trail Blazers","G",1990-07-15,1.88,88.5,29802321,"USA",2012,1,6,"Weber State"
"10",10,"Joel Embiid",91,21,"Philadelphia 76ers","C",1994-03-16,2.13,113.4,27504630,"Cameroon",2014,1,3,"Kansas"
"11",11,"Kyrie Irving",91,11,"Brooklyn Nets","G",1992-03-23,1.88,81.6,31742000,"Australia",2011,1,1,"Duke"
"12",12,"Nikola Jokic",90,15,"Denver Nuggets","C",1995-02-19,2.13,114.8,27504630,"Serbia",2014,2,41,"Studied Abroad"
"13",13,"Russell Westbrook",90,0,"Houston Rockets","G",1988-11-12,1.91,86.2,38506482,"USA",2008,1,4,"UCLA"
"14",14,"Klay Thompson",89,11,"Golden State Warriors","G",1990-02-08,1.98,93,32742000,"USA",2011,1,11,"Washington State"
"15",15,"Karl-Anthony Towns",89,32,"Minnesota Timberwolves","F-C",1995-11-15,2.11,112.5,27285000,"USA",2015,1,1,"Kentucky"
"16",16,"Jimmy Butler",88,22,"Miami Heat","G",1989-09-14,2.01,99.8,32742000,"USA",2011,1,30,"Marquette"
"17",17,"Rudy Gobert",88,27,"Utah Jazz","C",1992-06-26,2.16,108,25258427,"France",2013,1,27,"Studied Abroad"
"18",18,"Blake Griffin",88,23,"Detroit Pistons","F",1989-03-16,2.06,114.3,34449964,"USA",2009,1,1,"Oklahoma"
"19",19,"Donovan Mitchell",88,45,"Utah Jazz","G",1996-09-07,1.85,95.7,3635760,"USA",2017,1,13,"Louisville"
"20",20,"Kemba Walker",88,8,"Boston Celtics","G",1990-05-08,1.83,78,32742000,"USA",2011,1,9,"UConn"
"21",21,"Luka Doncic",87,77,"Dallas Mavericks","G-F",1999-02-28,2.01,103,7683360,"Slovenia",2018,1,3,"Studied Abroad"
"22",22,"LaMarcus Aldridge",87,12,"San Antonio Spurs","F-C",1985-07-19,2.11,111.6,2.6e+07,"USA",2006,1,2,"Texas"
"23",23,"Bradley Beal",87,3,"Washington Wizards","G",1993-06-28,1.91,93.9,27093018,"USA",2012,1,3,"Florida"
"24",24,"Mike Conley",87,10,"Utah Jazz","G",1987-10-11,1.85,83.9,32511623,"USA",2007,1,4,"Ohio State"
"25",25,"DeMar DeRozan",87,10,"San Antonio Spurs","G-F",1989-08-07,1.98,99.8,27739975,"USA",2009,1,9,"USC"
"26",26,"CJ McCollum",87,3,"Portland Trail Blazers","G",1991-09-19,1.91,89.4,27556959,"USA",2013,1,10,"Lehigh"
"27",27,"Victor Oladipo",87,4,"Indiana Pacers","G",1992-05-04,1.93,96.6,2.1e+07,"USA",2013,1,2,"Indiana"
"28",28,"Kristaps Porzingis",87,6,"Dallas Mavericks","F-C",1995-08-02,2.21,99.8,27285000,"Latvia",2015,1,4,"Studied Abroad"
"29",29,"D'Angelo Russell",87,0,"Minnesota Timberwolves","G",1996-02-23,1.93,87.5,27285000,"USA",2015,1,2,"Ohio State"
"30",30,"Pascal Siakam",87,43,"Toronto Raptors","F",1994-04-02,2.06,103,2351838,"Cameroon",2016,1,27,"New Mexico State"
"31",31,"Ben Simmons",87,25,"Philadelphia 76ers","F",1996-07-20,2.08,108.9,8113929,"Australia",2016,1,1,"LSU"
"32",32,"De'Aaron Fox",86,5,"Sacramento Kings","G",1997-12-20,1.91,77.6,6392760,"USA",2017,1,5,"Kentucky"
"33",33,"Devin Booker",86,1,"Phoenix Suns","G",1996-10-30,1.96,93.4,27285000,"USA",2015,1,13,"Kentucky"
"34",34,"DeMarcus Cousins",86,0,"No_Team","C",1990-08-13,2.08,122.5,3500000,"USA",2010,1,5,"Kentucky"
"35",35,"Andre Drummond",86,0,"Cleveland Cavaliers","C",1993-08-10,2.08,122.5,27093018,"USA",2012,1,9,"UConn"
"36",36,"Draymond Green",86,23,"Golden State Warriors","F",1990-03-04,1.98,104.3,18539130,"USA",2012,2,35,"Michigan State"
"37",37,"Jrue Holiday",86,11,"New Orleans Pelicans","G",1990-06-12,1.91,81.6,26131111,"USA",2009,1,17,"UCLA"
"38",38,"Nikola Vucevic",86,9,"Orlando Magic","C",1990-10-24,2.11,108.9,2.8e+07,"Montenegro",2011,1,16,"USC"
"39",39,"John Wall",86,2,"Washington Wizards","G",1990-09-06,1.93,88.5,38199000,"USA",2010,1,1,"Kentucky"
"40",40,"Jayson Tatum",85,0,"Boston Celtics","F",1998-03-03,2.03,92.5,7830000,"USA",2017,1,3,"Duke"
"41",41,"Trae Young",85,11,"Atlanta Hawks","G",1998-09-19,1.85,81.6,6273000,"USA",2018,1,5,"Oklahoma"
"42",42,"Eric Bledsoe",85,6,"Milwaukee Bucks","G",1989-12-09,1.85,88.5,15625000,"USA",2010,1,18,"Kentucky"
"43",43,"Clint Capela",85,15,"Atlanta Hawks","C",1994-05-18,2.08,95.7,16896552,"Switzerland",2014,1,25,"Studied Abroad"
"44",44,"Tobias Harris",85,12,"Philadelphia 76ers","F",1992-07-15,2.03,102.5,32742000,"USA",2011,1,19,"Tennessee"
"45",45,"Al Horford",85,42,"Philadelphia 76ers","C-F",1986-06-03,2.06,111.6,2.8e+07,"Dominican Republic",2007,1,3,"Florida"
"46",46,"Zach LaVine",85,8,"Chicago Bulls","G",1995-03-10,1.98,82.1,19500000,"USA",2014,1,13,"UCLA"
"47",47,"Kyle Lowry",85,7,"Toronto Raptors","G",1986-03-25,1.83,93,33296296,"USA",2006,1,24,"Villanova"
"48",48,"Khris Middleton",85,22,"Milwaukee Bucks","F",1991-08-12,2.01,98.4,30603448,"USA",2012,2,39,"Texas A&M"
"49",49,"Chris Paul",85,3,"Oklahoma City Thunder","G",1985-05-06,1.85,79.4,38506482,"USA",2005,1,4,"Wake Forest"
"50",50,"John Collins",84,20,"Atlanta Hawks","F",1997-09-23,2.06,102.1,2686560,"USA",2017,1,19,"Wake Forest"
"51",51,"Buddy Hield",84,24,"Sacramento Kings","G",1993-12-17,1.93,96.2,4861207,"The Bahamas",2016,1,6,"Oklahoma"
"52",52,"Kyle Kuzma",84,0,"Los Angeles Lakers","F",1995-07-24,2.03,100.2,1974600,"USA",2017,1,27,"Utah"
"53",53,"Jamal Murray",84,27,"Denver Nuggets","G",1997-02-23,1.93,91.2,4444746,"Canada",2016,1,7,"Kentucky"
"54",54,"Louis Williams",84,23,"Los Angeles Clippers","G",1986-10-27,1.85,79.4,8e+06,"USA",2005,2,45,"High School"
"55",55,"Marvin Bagley",83,35,"Sacramento Kings","F",1999-03-14,2.11,106.6,8556120,"USA",2018,1,2,"Duke"
"56",56,"Bojan Bogdanovic",83,44,"Utah Jazz","G-F",1989-04-18,2.03,98,1.7e+07,"Croatia",2011,2,31,"Studied Abroad"
"57",57,"Malcolm Brogdon",83,7,"Indiana Pacers","G",1992-12-11,1.96,101.2,2e+07,"USA",2016,2,36,"Virginia"
"58",58,"Danilo Gallinari",83,8,"Oklahoma City Thunder","F",1988-08-08,2.08,102.1,22615559,"Italy",2008,1,6,"Studied Abroad"
"59",59,"Montrezl Harrell",83,5,"Los Angeles Clippers","F",1994-01-26,2.01,114.8,6e+06,"USA",2015,2,32,"Louisville"
"60",60,"Kevin Love",83,0,"Cleveland Cavaliers","F",1988-09-07,2.03,117.9,28942830,"USA",2008,1,5,"UCLA"
"61",61,"Lauri Markkanen",83,24,"Chicago Bulls","F-C",1997-05-22,2.13,108.9,5300400,"Finland",2017,1,7,"Arizona"
"62",62,"Jusuf Nurkic",83,27,"Portland Trail Blazers","C",1994-08-23,2.13,131.5,1.2e+07,"Bosnia and Herzegovina",2014,1,16,"Studied Abroad"
"63",63,"Julius Randle",83,30,"New York Knicks","F",1994-11-29,2.03,113.4,1.8e+07,"USA",2014,1,7,"Kentucky"
"64",64,"Marc Gasol",82,33,"Toronto Raptors","C",1985-01-29,2.11,120.2,25595700,"Spain",2007,2,48,"Studied Abroad"
"65",65,"Steven Adams",82,12,"Oklahoma City Thunder","C",1993-07-20,2.11,115.7,25842697,"New Zealand",2013,1,12,"Pittsburgh"
"66",66,"Deandre Ayton",82,22,"Phoenix Suns","C",1998-07-23,2.11,113.4,9562920,"The Bahamas",2018,1,1,"Arizona"
"67",67,"Spencer Dinwiddie",82,8,"Brooklyn Nets","G",1993-04-06,1.96,93,10605600,"USA",2014,2,38,"Colorado"
"68",68,"Jaren Jackson",82,13,"Memphis Grizzlies","F-C",1999-09-15,2.11,110,6699960,"USA",2018,1,4,"Michigan State"
"69",69,"Paul Millsap",82,4,"Denver Nuggets","F-C",1985-02-10,2.01,113.4,30350000,"USA",2017,2,47,"Louisiana Tech"
"70",70,"Marcus Smart",82,36,"Boston Celtics","G",1994-03-06,1.91,103,12553571,"USA",2014,1,6,"Oklahoma State"
"71",71,"Myles Turner",82,33,"Indiana Pacers","F-C",1996-03-24,2.11,108.4,1.8e+07,"USA",2015,1,11,"Texas"
"72",72,"Serge Ibaka",81,9,"Toronto Raptors","F",1989-09-18,2.13,108.9,23271604,"Spain",2008,1,24,"Studied Abroad"
"73",73,"Zion Williamson",81,1,"New Orleans Pelicans","F",2000-07-06,1.98,128.8,9757440,"USA",2019,1,1,"Duke"
"74",74,"Rudy Gay",81,22,"San Antonio Spurs","F",1986-08-17,2.03,104.3,14500000,"USA",2006,1,8,"UConn"
"75",75,"Aaron Gordon",81,0,"Orlando Magic","F",1995-09-16,2.03,99.8,19863636,"USA",2014,1,4,"Arizona"
"76",76,"Brandon Ingram",81,14,"New Orleans Pelicans","F",1997-09-02,2.01,88.9,7265485,"USA",2016,1,2,"Duke"
"77",77,"DeAndre Jordan",81,6,"Brooklyn Nets","C",1988-07-21,2.11,120.2,9881598,"USA",2008,2,35,"Texas A&M"
"78",78,"Domantas Sabonis",81,11,"Indiana Pacers","F-C",1996-05-03,2.11,104.8,3529554,"Lithuania",2016,1,11,"Gonzaga"
"79",79,"Jonas Valanciunas",81,17,"Memphis Grizzlies","C",1992-05-06,2.11,104.8,1.6e+07,"Lithuania",2011,1,5,"Studied Abroad"
"80",80,"Hassan Whiteside",81,21,"Portland Trail Blazers","C",1989-06-13,2.13,106.6,27093018,"USA",2010,2,33,"Marshall"
"81",81,"Derrick Rose",80,25,"Detroit Pistons","G",1988-10-04,1.88,86.2,7317074,"USA",2008,1,1,"Memphis"
"82",82,"Robert Covington",80,33,"Houston Rockets","F",1990-12-14,2.01,94.8,11301219,"USA",2013,3,0,"Tennessee State"
"83",83,"Derrick Favors",80,22,"New Orleans Pelicans","F",1991-07-15,2.06,111.6,17650000,"USA",2010,1,3,"Georgia Tech"
"84",84,"Gordon Hayward",80,20,"Boston Celtics","F",1990-03-23,2.01,93.9,32700690,"USA",2010,1,9,"Butler"
"85",85,"Reggie Jackson",80,0,"Los Angeles Clippers","G",1990-04-16,1.91,94.3,17799677,"USA",2011,1,24,"Boston College"
"86",86,"Enes Kanter",80,11,"Boston Celtics","C",1992-05-20,2.08,118.8,4767000,"Turkey",2011,1,3,"Studied Abroad"
"87",87,"Otto Porter",80,22,"Chicago Bulls","F",1993-06-03,2.03,89.8,27250576,"USA",2013,1,2,"Georgetown"
"88",88,"JJ Redick",80,4,"New Orleans Pelicans","G",1984-06-24,1.91,86.2,13486300,"USA",2006,1,11,"Duke"
"89",89,"Josh Richardson",80,0,"Philadelphia 76ers","G",1993-09-15,1.96,90.7,10116576,"USA",2015,2,40,"Tennessee"
"90",90,"TJ Warren",80,1,"Indiana Pacers","F",1993-09-05,2.03,99.8,11060000,"USA",2014,1,14,"NC State"
"91",91,"Ja Morant",79,12,"Memphis Grizzlies","G",1999-08-10,1.91,78.9,8730240,"USA",2019,1,2,"Murray State"
"92",92,"Bam Adebayo",79,13,"Miami Heat","F-C",1997-07-18,2.06,110.2,3454080,"USA",2017,1,14,"Kentucky"
"93",93,"Jarrett Allen",79,31,"Brooklyn Nets","C",1998-04-20,2.11,106.1,2376840,"USA",2017,1,22,"Texas"
"94",94,"Lonzo Ball",79,2,"New Orleans Pelicans","G",1997-10-27,1.98,86.2,8719320,"USA",2017,1,2,"UCLA"
"95",95,"Harrison Barnes",79,40,"Sacramento Kings","F",1992-05-30,2.03,95.3,24147727,"USA",2012,1,7,"North Carolina"
"96",96,"Patrick Beverley",79,21,"Los Angeles Clippers","G",1988-07-12,1.85,81.6,12345680,"USA",2009,2,42,"Arkansas"
"97",97,"Jaylen Brown",79,7,"Boston Celtics","F",1996-10-24,1.98,101.2,6534829,"USA",2016,1,3,"California"
"98",98,"Willie Cauley-Stein",79,0,"Dallas Mavericks","C",1993-08-18,2.13,109.8,2177483,"USA",2015,1,6,"Kentucky"
"99",99,"Goran Dragic",79,7,"Miami Heat","G",1986-05-06,1.91,86.2,19217900,"Slovenia",2008,2,45,"Studied Abroad"
"100",100,"Shai Gilgeous-Alexander",79,2,"Oklahoma City Thunder","G",1998-07-12,1.96,81.6,3952920,"Canada",2018,1,11,"Kentucky"
"101",101,"Gary Harris",79,14,"Denver Nuggets","G",1994-09-14,1.93,93,17839286,"USA",2014,1,19,"Michigan State"
"102",102,"Joe Ingles",79,2,"Utah Jazz","F",1987-10-02,2.01,94.8,11454546,"Australia",2009,3,0,"Studied Abroad"
"103",103,"Jeremy Lamb",79,26,"Indiana Pacers","G",1992-05-30,1.96,81.6,10500000,"USA",2012,1,12,"UConn"
"104",104,"Brook Lopez",79,11,"Milwaukee Bucks","C",1988-04-01,2.13,120.2,12093024,"USA",2008,1,10,"Stanford"
"105",105,"JaVale McGee",79,7,"Los Angeles Lakers","C",1988-01-19,2.13,122.5,4e+06,"USA",2008,1,18,"Nevada"
"106",106,"Mitchell Robinson",79,23,"New York Knicks","C",1998-04-01,2.13,101.2,1559712,"USA",2018,2,36,"High School"
"107",107,"Terrence Ross",79,8,"Orlando Magic","G",1991-02-05,1.98,93.4,12500000,"USA",2012,1,8,"Washington"
"108",108,"Tristan Thompson",79,13,"Cleveland Cavaliers","F",1991-03-13,2.06,102.1,18539130,"Canada",2011,1,4,"Texas"
"109",109,"PJ Tucker",79,17,"Houston Rockets","F",1985-05-05,1.96,102.1,8349039,"USA",2006,2,35,"Texas"
"110",110,"Fred VanVleet",79,23,"Toronto Raptors","G",1994-02-25,1.85,89.4,9346153,"USA",2006,3,0,"Wichita State"
"111",111,"Andrew Wiggins",79,22,"Golden State Warriors","F",1995-02-23,2.01,89.4,27504630,"Canada",2014,1,1,"Kansas"
"112",112,"Thaddeus Young",79,21,"Chicago Bulls","F",1988-06-21,2.03,99.8,12900000,"USA",2007,1,12,"Georgia Tech"
"113",113,"RJ Barrett",78,9,"New York Knicks","G",2000-06-14,1.98,91.6,7839960,"Canada",2019,1,3,"Duke"
"114",114,"Ricky Rubio",78,11,"Phoenix Suns","G",1990-10-21,1.91,81.6,16200000,"Spain",2009,1,5,"Studied Abroad"
"115",115,"Will Barton",78,5,"Denver Nuggets","G",1991-01-06,1.96,79.4,12776786,"USA",2012,2,40,"Memphis"
"116",116,"Bogdan Bogdanovic",78,8,"Sacramento Kings","G",1992-08-18,1.98,93,8529386,"Serbia",2014,1,27,"Studied Abroad"
"117",117,"Thomas Bryant",78,13,"Washington Wizards","F-C",1997-07-31,2.08,109.3,8e+06,"USA",2017,2,42,"Indiana"
"118",118,"Wendell Carter",78,34,"Chicago Bulls","C",1999-04-16,2.06,117.5,5201400,"USA",2018,1,7,"Duke"
"119",119,"Jordan Clarkson",78,8,"Utah Jazz","G",1992-06-07,1.93,84.4,13437500,"Philippines",2014,2,46,"Missouri"
"120",120,"Evan Fournier",78,10,"Orlando Magic","G",1992-10-29,2.01,86.2,17150000,"France",2012,1,20,"Studied Abroad"
"121",121,"Eric Gordon",78,10,"Houston Rockets","G",1988-12-25,1.91,97.5,14057730,"USA",2008,1,7,"Indiana"
"122",122,"JaMychal Green",78,4,"Los Angeles Clippers","F",1990-06-21,2.03,99.8,4767000,"USA",2012,3,0,"Alabama"
"123",123,"Joe Harris",78,12,"Brooklyn Nets","G",1991-09-06,1.98,97.5,7666667,"USA",2014,2,33,"Virginia"
"124",124,"Andre Iguodala",78,9,"Miami Heat","G-F",1984-01-28,1.98,93.9,17185185,"USA",2004,1,9,"Arizona"
"125",125,"Caris LeVert",78,22,"Brooklyn Nets","G",1994-08-25,1.98,86.6,2625717,"USA",2016,1,20,"Michigan"
"126",126,"Marcus Morris",78,0,"Los Angeles Clippers","F",1989-09-02,2.03,106.6,1.5e+07,"USA",2011,1,14,"Kansas"
"127",127,"Dejounte Murray",78,5,"San Antonio Spurs","G",1996-09-19,1.93,77.1,2321735,"USA",2016,1,29,"Washington"
"128",128,"Larry Nance Jr",78,22,"Cleveland Cavaliers","F",1993-01-01,2.01,103,12727273,"USA",2015,1,27,"Wyoming"
"129",129,"Kelly Olynyk",78,9,"Miami Heat","C",1991-04-19,2.11,106.1,12667885,"Canada",2013,1,13,"Gonzaga"
"130",130,"Kelly Oubre",78,3,"Phoenix Suns","F-G",1995-12-09,2.01,92.1,15625000,"USA",2015,1,15,"Kansas"
"131",131,"Jabari Parker",78,0,"Sacramento Kings","F",1995-03-15,2.03,106.6,6500000,"USA",2014,1,2,"Duke"
"132",132,"Bobby Portis",78,1,"New York Knicks","F-C",1995-02-10,2.08,111.6,1.5e+07,"USA",2015,1,22,"Arkansas"
"133",133,"Terry Rozier",78,3,"Charlotte Hornets","G",1994-03-17,1.85,86.2,19894737,"USA",2015,1,16,"Louisville"
"134",134,"Dennis Schroeder",78,17,"Oklahoma City Thunder","G",1993-09-15,1.85,78,15500000,"Germany",2013,1,17,"Studied Abroad"
"135",135,"Jeff Teague",78,0,"Atlanta Hawks","G",1988-06-10,1.91,82.1,1.9e+07,"USA",2009,1,19,"Wake Forest"
"136",136,"Derrick White",78,4,"San Antonio Spurs","G",1994-07-02,1.93,90.7,1948080,"USA",2017,1,29,"Colorado"
"137",137,"Justise Winslow",78,0,"Memphis Grizzlies","F",1996-03-26,1.98,100.7,1.3e+07,"USA",2015,1,10,"Duke"
"138",138,"Darius Garland",77,10,"Cleveland Cavaliers","G",2000-06-26,1.85,79.4,6400920,"USA",2019,1,5,"Vanderbilt"
"139",139,"De'Andre Hunter",77,12,"Atlanta Hawks","F",1997-12-01,2.01,102.1,7068360,"USA",2019,1,4,"Virginia"
"140",140,"Al-Farouq Aminu",77,2,"Orlando Magic","F",1990-09-21,2.03,97.5,9258000,"Nigeria",2010,1,8,"Wake Forest"
"141",141,"Mo Bamba",77,5,"Orlando Magic","C",1998-05-12,2.13,102.1,5697600,"USA",2018,1,6,"Texas"
"142",142,"Nicolas Batum",77,5,"Charlotte Hornets","F-G",1988-12-14,2.06,95.3,25565217,"France",2008,1,25,"Studied Abroad"
"143",143,"Malik Beasley",77,0,"Minnesota Timberwolves","G",1996-11-26,1.93,89.8,2731713,"USA",2016,1,19,"Florida State"
"144",144,"Nemanja Bjelica",77,88,"Sacramento Kings","F-G",1988-05-09,2.08,101.6,6825000,"Serbia",2010,2,35,"Studied Abroad"
"145",145,"DeMarre Carroll",77,0,"Houston Rockets","F",1986-07-27,1.98,96.2,7339258,"USA",2009,1,27,"Missouri"
"146",146,"Ed Davis",77,17,"Utah Jazz","F",1989-06-05,2.06,97.5,4767000,"USA",2010,1,13,"North Carolina"
"147",147,"Taj Gibson",77,67,"New York Knicks","F",1985-06-24,2.06,102.1,9e+06,"USA",2009,1,26,"USC"
"148",148,"Jerami Grant",77,9,"Denver Nuggets","F",1994-03-12,2.03,97.1,9346153,"USA",2014,2,39,"Syracuse"
"149",149,"Danny Green",77,14,"Los Angeles Lakers","G",1987-06-22,1.98,94.8,14634147,"USA",2009,2,46,"North Carolina"
"150",150,"Tim Hardaway Jr",77,11,"Dallas Mavericks","G",1992-03-16,1.96,90.3,20025127,"USA",2013,1,24,"Michigan"
"151",151,"Alex Len",77,0,"Sacramento Kings","C",1993-06-16,2.13,102.1,4160000,"Ukraine",2013,1,5,"Maryland"
"152",152,"Kevon Looney",77,5,"Golden State Warriors","F",1996-02-06,2.06,100.7,4464286,"USA",2015,1,30,"UCLA"
"153",153,"Monte Morris",77,11,"Denver Nuggets","G",1995-06-27,1.88,79.4,1588231,"USA",2017,2,51,"Iowa State"
"154",154,"Nerlens Noel",77,9,"Oklahoma City Thunder","F-C",1994-04-10,2.08,93.4,1882867,"USA",2013,1,6,"Kentucky"
"155",155,"Mason Plumlee",77,24,"Denver Nuggets","C-F",1990-03-05,2.11,108,14041096,"USA",2013,1,22,"Duke"
"156",156,"Jakob Poeltl",77,25,"San Antonio Spurs","C-F",1995-10-15,2.16,108.4,3754885,"Austria",2016,1,9,"Utah"
"157",157,"Dwight Powell",77,7,"Dallas Mavericks","F-C",1991-07-20,2.08,106.1,10259375,"Canada",2014,2,45,"Stanford"
"158",158,"Taurean Prince",77,2,"Brooklyn Nets","F",1994-03-22,2.01,99.8,3481985,"USA",2016,1,12,"Baylor"
"159",159,"Dario Saric",77,20,"Phoenix Suns","F",1994-04-08,2.08,98,3481985,"Croatia",2014,1,12,"Studied Abroad"
"160",160,"Collin Sexton",77,2,"Cleveland Cavaliers","G",1999-01-04,1.85,86.2,4764960,"USA",2018,1,8,"Alabama"
"161",161,"Dennis Smith",77,5,"New York Knicks","G",1997-11-25,1.88,88.5,4463640,"USA",2017,1,9,"NC State"
"162",162,"Cody Zeller",77,40,"Charlotte Hornets","C-F",1992-10-05,2.13,104.3,14471910,"USA",2013,1,4,"Indiana"
"163",163,"Ivica Zubac",77,40,"Los Angeles Clippers","C",1997-03-18,2.13,120.2,6481482,"Croatia",2016,2,32,"Studied Abroad"
"164",164,"Jarrett Culver",77,23,"Minnesota Timberwolves","G",1999-02-20,1.98,88.5,5813640,"USA",2019,1,6,"Texas Tech"
"165",165,"Willy Hernangomez",76,9,"Charlotte Hornets","C-F",1994-05-27,2.11,115.7,1676735,"Spain",2015,2,35,"Studied Abroad"
"166",166,"Trevor Ariza",76,0,"Portland Trail Blazers","F-G",1985-06-30,2.03,95.3,12200000,"USA",2004,2,43,"UCLA"
"167",167,"DJ Augustin",76,14,"Orlando Magic","G",1987-11-10,1.8,81.6,7250000,"USA",2008,1,9,"Texas"
"168",168,"Jose Juan Barea",76,5,"Dallas Mavericks","G",1984-06-26,1.78,79.4,2564753,"Puerto Rico",2006,3,0,"Northeastern"
"169",169,"Michael Beasley",76,0,"No_Team","F",1989-01-09,2.08,106.6,3500000,"USA",2008,1,2,"Kansas State"
"170",170,"Davis Bertans",76,42,"Washington Wizards","F",1992-11-12,2.08,95.7,7e+06,"Latvia",2011,2,42,"Studied Abroad"
"171",171,"Avery Bradley",76,11,"Los Angeles Lakers","G",1990-11-26,1.91,88.5,6767000,"USA",2010,1,19,"Texas"
"172",172,"Miles Bridges",76,0,"Charlotte Hornets","F",1998-03-21,1.98,102.1,3755400,"USA",2018,1,12,"Michigan State"
"173",173,"Jalen Brunson",76,13,"Dallas Mavericks","G",1996-08-31,1.85,86.2,1416852,"USA",2018,2,33,"Villanova"
"174",174,"Kentavious Caldwell-Pope",76,1,"Los Angeles Lakers","G",1993-02-18,1.96,92.5,8089282,"USA",2013,1,8,"Georgia"
"175",175,"Jae Crowder",76,99,"Miami Heat","F",1990-07-06,1.98,106.6,7815533,"USA",2012,2,34,"Marquette"
"176",176,"Dewayne Dedmon",76,0,"Atlanta Hawks","C",1989-08-12,2.13,108.4,13333334,"USA",2013,3,0,"USC"
"177",177,"Gorgui Dieng",76,0,"Memphis Grizzlies","C",1990-01-18,2.08,104.3,16229213,"Senegal",2013,1,21,"Louisville"
"178",178,"Gerald Green",76,0,"No_Team","F-G",1986-01-26,1.98,87.1,2564753,"USA",2005,1,18,"High School"
"179",179,"Jeff Green",76,34,"Houston Rockets","F",1986-08-28,2.03,106.6,3405180,"USA",2007,1,5,"Georgetown"
"180",180,"Rodney Hood",76,5,"Portland Trail Blazers","F",1992-10-20,2.03,94.3,5718000,"USA",2014,1,23,"Duke"
"181",181,"Kevin Huerter",76,3,"Atlanta Hawks","G",1998-08-27,2.01,86.2,2636280,"USA",2018,1,19,"Maryland"
"182",182,"Ersan Ilyasova",76,7,"Milwaukee Bucks","F",1987-05-15,2.06,106.6,7e+06,"Turkey",2005,2,36,"Studied Abroad"
"183",183,"Jonathan Isaac",76,1,"Orlando Magic","F",1997-10-03,2.11,93,5806440,"USA",2017,1,6,"Florida State"
"184",184,"Josh Jackson",76,20,"Memphis Grizzlies","F",1997-02-10,2.03,92.1,7059480,"USA",2017,1,4,"Kansas"
"185",185,"Frank Kaminsky",76,8,"Phoenix Suns","F-C",1993-04-04,2.13,104.8,4767000,"USA",2015,1,9,"Wisconsin"
"186",186,"Michael Kidd-Gilchrist",76,0,"Dallas Mavericks","F",1993-09-26,1.98,105.2,12784359,"USA",2012,1,2,"Kentucky"
"187",187,"Kevin Knox",76,20,"New York Knicks","F",1999-08-11,2.01,97.5,4380120,"USA",2018,1,9,"Kentucky"
"188",188,"Meyers Leonard",76,0,"Miami Heat","C",1992-02-27,2.13,111.1,11286515,"USA",2012,1,11,"Illinois"
"189",189,"Wesley Matthews",76,9,"Milwaukee Bucks","G",1986-10-14,1.93,99.8,2564753,"USA",2009,3,0,"Marquette"
"190",190,"Emmanuel Mudiay",76,8,"Utah Jazz","G",1996-03-05,1.91,86.2,1737145,"Democratic Republic of the Congo",2015,1,7,"Studied Abroad"
"191",191,"Jahlil Okafor",76,8,"New Orleans Pelicans","C",1995-12-15,2.08,122.5,1702486,"USA",2015,1,3,"Duke"
"192",192,"Elfrid Payton",76,6,"New York Knicks","G",1994-02-22,1.91,83.9,8e+06,"USA",2014,1,10,"Louisiana"
"193",193,"Michael Porter",76,1,"Denver Nuggets","F",1998-06-29,2.08,97.5,3389400,"USA",2018,1,14,"Missouri"
"194",194,"Austin Rivers",76,25,"Houston Rockets","G",1992-08-01,1.91,90.7,2174310,"USA",2012,1,10,"Duke"
"195",195,"Andre Roberson",76,21,"Oklahoma City Thunder","G-F",1991-12-04,2.01,93.4,10740740,"USA",2013,1,26,"Colorado"
"196",196,"Rajon Rondo",76,9,"Los Angeles Lakers","G",1986-02-22,1.85,84.4,2564753,"USA",2006,1,21,"Kentucky"
"197",197,"Landry Shamet",76,20,"Los Angeles Clippers","G",1997-03-13,1.93,81.6,1995120,"USA",2018,1,26,"Wichita State"
"198",198,"Daniel Theis",76,27,"Boston Celtics","C",1992-04-04,2.03,97.5,5e+06,"Germany",2013,3,0,"Studied Abroad"
"199",199,"Isaiah Thomas",76,0,"No_Team","G",1989-02-07,1.75,83.9,2320044,"USA",2011,2,60,"Washington"
